Chinese,Founded  (PRC)
香港特别行政区,1997-07-01
澳门特别行政区,1999-12-20
北京市,1949-10-01
重庆市,1997-03-14
上海市,1949-10-01
天津市,1967-01-02
安庆市,1979-11-04
蚌埠市,1949-10-01
亳州市,2000-05-21
巢湖市,2011-07-14
池州市,2000-06-25
滁州市,1992-12-20
阜阳市,1996-01-01
合肥市,1949-10-01
淮北市,1960-04-16
淮南市,1951-01-18
黄山市,1987-11-27
界首市,1989-09-27
六安市,1999-09-02
马鞍山市,1956-10-12
明光市,1994-05-31
宁国市,1997-03-11
宿州市,1998-12-06
天长市,1993-09-18
桐城市,1996-08-20
铜陵市,1971-12-11
芜湖市,1972-12-30
宣城市,2000-06-25
福安市,1989-11-13
福鼎市,1995-10-13
福清市,1990-12-26
福州市,1949-10-01
建瓯市,1992-10-20
晋江市,1992-03-06
龙海市,1993-05-12
龙岩市,1996-11-20
南安市,1993-05-12
南平市,1994-09-05
宁德市,1999-11-14
莆田市,1983-09-09
泉州市,1985-05-14
三明市,1983-04-28
邵武市,1983-08-17
石狮市,1987-12-17
武夷山市,1989-08-21
厦门市,1949-10-01
永安市,1984-09-12
漳平市,1990-08-15
漳州市,1985-05-14
白银市,1985-05-14
定西市,2003-04-04
敦煌市,1987-08-21
合作市,1996-05-28
嘉峪关市,1971-09-10
金昌市,1981-02-09
酒泉市,2002-06-18
兰州市,1949-10-01
临夏市,1983-08-31
陇南市,2004-01-11
平凉市,2002-06-02
庆阳市,2002-06-22
天水市,1985-07-08
武威市,2001-05-09
玉门市,1961-11-15
张掖市,2002-03-01
潮州市,1991-12-07
东莞市,1988-01-07
恩平市,1994-02-28
佛山市,1975-11-22
高州市,1993-06-08
广州市,1954-06-19
鹤山市,1993-11-08
河源市,1988-01-07
化州市,1994-07-04
惠州市,1988-01-07
江门市,1975-11-22
揭阳市,1991-12-07
开平市,1993-01-05
乐昌市,1994-04-28
雷州市,1994-04-26
廉江市,1993-12-10
连州市,1994-04-22
陆丰市,1995-01-19
罗定市,1993-04-08
